species,longitude,latitude
Boana_leptolineata,-51.36666667,-26.36666667
Boana_leptolineata,-51.96666667,-25.63333333
Boana_leptolineata,-51.63333333,-26.51666667
Boana_leptolineata,-51.6167,-26.5167
Boana_leptolineata,-51.9833,-25.6
Boana_leptolineata,-51.46611111,-25.35444444
Boana_leptolineata,-51.364,-26.395
Boana_leptolineata,-51.4027,-26.402
Boana_leptolineata,-51.616732,-26.516705
Boana_leptolineata,-51.9,-26.78333333
Boana_leptolineata,-52.55,-26.66666667
Boana_leptolineata,-50.66666667,-26.85361111
Boana_leptolineata,-51.94555556,-26.79416667
Boana_leptolineata,-49.64138889,-28.13638889
Boana_leptolineata,-50.17361111,-29.48
Boana_leptolineata,-50.095,-29.18972222
Boana_leptolineata,-50.16666667,-29.5
Boana_leptolineata,-50.11666667,-28.73583333
Boana_leptolineata,-52.61888889,-28.61638889
Boana_leptolineata,-50.988181,-28.169905
Boana_leptolineata,-51.012221,-28.196328
Boana_leptolineata,-50.977327,-28.193527
Boana_leptolineata,-50.1993,-29.48125
Boana_leptolineata,-50.1993,-29.48125
Boana_leptolineata,-50.1993,-29.48125
Boana_leptolineata,-50.1993,-29.48125
Boana_leptolineata,-50.1993,-29.48125
Boana_leptolineata,-50.1993,-29.48125
Boana_leptolineata,-50.1993,-29.48125
Boana_leptolineata,-50.1993,-29.48125
Boana_leptolineata,-50.1993,-29.48125
Boana_leptolineata,-50.1993,-29.48125
Boana_leptolineata,-50.1993,-29.48125
Boana_leptolineata,-50.1993,-29.48125
Boana_leptolineata,-50.1993,-29.48125
Boana_leptolineata,-50.1993,-29.48125
Boana_leptolineata,-50.1993,-29.48125
Boana_leptolineata,-50.1993,-29.48125
Boana_leptolineata,-50.1993,-29.48125
Boana_leptolineata,-50.1993,-29.48125
Boana_leptolineata,-50.1993,-29.48125
Boana_leptolineata,-50.1993,-29.48125
Boana_leptolineata,-50.1993,-29.48125
Boana_leptolineata,-50.1993,-29.48125
Boana_leptolineata,-50.1993,-29.48125
Boana_leptolineata,-50.1993,-29.48125
Boana_leptolineata,-50.1993,-29.48125
Boana_leptolineata,-50.1993,-29.48125
Boana_leptolineata,-50.1993,-29.48125
Boana_leptolineata,-50.1993,-29.48125
Boana_leptolineata,-50.1993,-29.48125
Boana_leptolineata,-50.1993,-29.48125
Boana_leptolineata,-50.1993,-29.48125
Boana_leptolineata,-50.1993,-29.48125
Boana_leptolineata,-50.1993,-29.48125
Boana_leptolineata,-50.1993,-29.48125
Boana_leptolineata,-50.1993,-29.48125
Boana_leptolineata,-50.1993,-29.48125
Boana_leptolineata,-50.1993,-29.48125
Boana_leptolineata,-50.1993,-29.48125
Boana_leptolineata,-50.1993,-29.48125
Boana_leptolineata,-50.1993,-29.48125
Boana_leptolineata,-50.1993,-29.48125
Boana_leptolineata,-50.1993,-29.48125
Boana_leptolineata,-50.1993,-29.48125
Boana_leptolineata,-50.1993,-29.48125
Boana_leptolineata,-50.1993,-29.48125
Boana_leptolineata,-50.1993,-29.48125
Boana_leptolineata,-50.1993,-29.48125
Boana_leptolineata,-50.1993,-29.48125
Boana_leptolineata,-50.1993,-29.48125
Boana_leptolineata,-50.1993,-29.48125
Boana_leptolineata,-50.1993,-29.48125
Boana_leptolineata,-50.806006,-29.364679
Boana_leptolineata,-50.806006,-29.364679
Boana_leptolineata,-52.55141,-26.66419
Boana_leptolineata,-52.55141,-26.66419
Boana_leptolineata,-52.54921,-26.64137
Boana_leptolineata,-52.54921,-26.64137
Boana_leptolineata,-52.54921,-26.64137
Boana_leptolineata,-52.54921,-26.64137
Boana_leptolineata,-52.54921,-26.64137
Boana_leptolineata,-52.54921,-26.64137
Boana_leptolineata,-52.54921,-26.64137
Boana_leptolineata,-52.54921,-26.64137
Boana_leptolineata,-52.54921,-26.64137
Boana_leptolineata,-52.54921,-26.64137
Boana_leptolineata,-52.54921,-26.64137
Boana_leptolineata,-52.53167,-26.55833
Boana_leptolineata,-52.53167,-26.55833
Boana_leptolineata,-52.53167,-26.55833
Boana_leptolineata,-52.53167,-26.55833
Boana_leptolineata,-52.53167,-26.55833
Boana_leptolineata,-52.53167,-26.55833
Boana_leptolineata,-52.53167,-26.55833
Boana_leptolineata,-52.53167,-26.55833
Boana_leptolineata,-52.53167,-26.55833
Boana_leptolineata,-52.53167,-26.55833
Boana_leptolineata,-52.08333,-25.79167
Boana_leptolineata,-52.08333,-25.79167
Boana_leptolineata,-51.96717,-25.63798
Boana_leptolineata,-51.96717,-25.63798
Boana_leptolineata,-51.95642,-25.65811
Boana_leptolineata,-51.95606,-25.64493
Boana_leptolineata,-51.95606,-25.64493
Boana_leptolineata,-51.95606,-25.64493
Boana_leptolineata,-51.95606,-25.64493
Boana_leptolineata,-51.95606,-25.64493
Boana_leptolineata,-51.95606,-25.64493
Boana_leptolineata,-51.95606,-25.64493
Boana_leptolineata,-51.95606,-25.64493
Boana_leptolineata,-51.95606,-25.64493
Boana_leptolineata,-51.95606,-25.64493
Boana_leptolineata,-51.95606,-25.64493
Boana_leptolineata,-51.95606,-25.64493
Boana_leptolineata,-51.95606,-25.64493
Boana_leptolineata,-51.95606,-25.64493
Boana_leptolineata,-51.94176,-25.65766
Boana_leptolineata,-51.94176,-25.65766
Boana_leptolineata,-51.94176,-25.65766
Boana_leptolineata,-51.9283,-26.8617
Boana_leptolineata,-51.92769,-26.80173
Boana_leptolineata,-51.92769,-26.80173
Boana_leptolineata,-51.92769,-26.80173
Boana_leptolineata,-51.92769,-26.80173
Boana_leptolineata,-51.63333,-28.78333
Boana_leptolineata,-51.53383,-25.26715
Boana_leptolineata,-51.50486,-26.69642
