species,longitude,latitude
Pseudis_cardosoi,-51.63333333,-26.51666667
Pseudis_cardosoi,-51.6167,-26.5167
Pseudis_cardosoi,-51.6755,-26.522
Pseudis_cardosoi,-51.616732,-26.516705
Pseudis_cardosoi,-50.66666667,-26.85361111
Pseudis_cardosoi,-49.64138889,-28.13638889
Pseudis_cardosoi,-50.17361111,-29.48
Pseudis_cardosoi,-50.095,-29.18972222
Pseudis_cardosoi,-50.16666667,-29.5
Pseudis_cardosoi,-50.25027778,-29.22361111
Pseudis_cardosoi,-50.10916667,-29.01111111
Pseudis_cardosoi,-50.980243,-28.166318
Pseudis_cardosoi,-50.988181,-28.169905
Pseudis_cardosoi,-50.974731,-28.167504
Pseudis_cardosoi,-50.987209,-28.193134
Pseudis_cardosoi,-50.56,-29.45
Pseudis_cardosoi,-49.55,-28.39
Pseudis_cardosoi,-49.55,-28.39
Pseudis_cardosoi,-50.56,-29.45
Pseudis_cardosoi,-50.1993,-29.48125
Pseudis_cardosoi,-50.1993,-29.48125
Pseudis_cardosoi,-50.1993,-29.48125
Pseudis_cardosoi,-50.1993,-29.48125
Pseudis_cardosoi,-50.1993,-29.48125
Pseudis_cardosoi,-50.1993,-29.48125
Pseudis_cardosoi,-50.1993,-29.48125
Pseudis_cardosoi,-50.1993,-29.48125
Pseudis_cardosoi,-50.1993,-29.48125
Pseudis_cardosoi,-50.1993,-29.48125
Pseudis_cardosoi,-50.1993,-29.48125
Pseudis_cardosoi,-50.1993,-29.48125
Pseudis_cardosoi,-50.1993,-29.48125
Pseudis_cardosoi,-50.1993,-29.48125
Pseudis_cardosoi,-50.1993,-29.48125
Pseudis_cardosoi,-50.1993,-29.48125
Pseudis_cardosoi,-50.1993,-29.48125
Pseudis_cardosoi,-50.1993,-29.48125
Pseudis_cardosoi,-50.1993,-29.48125
Pseudis_cardosoi,-50.1993,-29.48125
Pseudis_cardosoi,-50.1993,-29.48125
Pseudis_cardosoi,-50.1993,-29.48125
Pseudis_cardosoi,-50.1993,-29.48125
Pseudis_cardosoi,-50.1993,-29.48125
Pseudis_cardosoi,-50.1993,-29.48125
Pseudis_cardosoi,-50.1993,-29.48125
Pseudis_cardosoi,-50.1993,-29.48125
Pseudis_cardosoi,-50.1993,-29.48125
Pseudis_cardosoi,-50.1993,-29.48125
Pseudis_cardosoi,-50.1993,-29.48125
Pseudis_cardosoi,-50.1993,-29.48125
Pseudis_cardosoi,-50.1993,-29.48125
Pseudis_cardosoi,-50.1993,-29.48125
Pseudis_cardosoi,-50.1993,-29.48125
Pseudis_cardosoi,-50.1993,-29.48125
Pseudis_cardosoi,-50.1993,-29.48125
Pseudis_cardosoi,-50.1993,-29.48125
Pseudis_cardosoi,-50.1993,-29.48125
Pseudis_cardosoi,-50.1993,-29.48125
Pseudis_cardosoi,-50.1993,-29.48125
Pseudis_cardosoi,-50.1993,-29.48125
Pseudis_cardosoi,-50.1993,-29.48125
Pseudis_cardosoi,-50.1993,-29.48125
Pseudis_cardosoi,-50.1993,-29.48125
Pseudis_cardosoi,-50.1993,-29.48125
Pseudis_cardosoi,-50.1993,-29.48125
Pseudis_cardosoi,-50.1993,-29.48125
Pseudis_cardosoi,-50.1993,-29.48125
Pseudis_cardosoi,-50.1993,-29.48125
Pseudis_cardosoi,-50.1993,-29.48125
Pseudis_cardosoi,-50.1993,-29.48125
Pseudis_cardosoi,-50.1993,-29.48125
Pseudis_cardosoi,-50.1993,-29.48125
Pseudis_cardosoi,-50.1993,-29.48125
Pseudis_cardosoi,-50.1993,-29.48125
Pseudis_cardosoi,-50.1993,-29.48125
Pseudis_cardosoi,-50.1993,-29.48125
Pseudis_cardosoi,-51.36167,-28.59889
Pseudis_cardosoi,-50.76083,-27.89889
Pseudis_cardosoi,-50.76083,-27.89889
Pseudis_cardosoi,-50.76083,-27.89889
Pseudis_cardosoi,-50.76083,-27.89889
Pseudis_cardosoi,-50.76083,-27.89889
Pseudis_cardosoi,-50.65833,-28.32778
Pseudis_cardosoi,-50.65833,-28.32778
Pseudis_cardosoi,-50.62219,-26.81731
Pseudis_cardosoi,-50.58361,-29.44806
Pseudis_cardosoi,-50.58361,-29.44806
Pseudis_cardosoi,-50.58333,-29.44833
Pseudis_cardosoi,-50.58333,-29.44833
Pseudis_cardosoi,-50.58333,-29.44833
Pseudis_cardosoi,-50.58333,-29.44833
Pseudis_cardosoi,-50.58333,-29.44833
Pseudis_cardosoi,-50.58333,-29.44833
Pseudis_cardosoi,-50.57143,-29.45878
Pseudis_cardosoi,-50.57143,-29.45878
Pseudis_cardosoi,-50.4776,-29.15705
Pseudis_cardosoi,-50.41667,-28.66667
Pseudis_cardosoi,-50.389,-29.38968
Pseudis_cardosoi,-50.38338,-29.39069
Pseudis_cardosoi,-50.38338,-29.39069
Pseudis_cardosoi,-50.38056,-29.4475
Pseudis_cardosoi,-50.38056,-29.4475
Pseudis_cardosoi,-50.38056,-29.4475
Pseudis_cardosoi,-50.38056,-29.4475
Pseudis_cardosoi,-50.38056,-29.4475
Pseudis_cardosoi,-50.38056,-29.4475
Pseudis_cardosoi,-50.38056,-29.4475
Pseudis_cardosoi,-50.38056,-29.4475
Pseudis_cardosoi,-50.38056,-29.4475
Pseudis_cardosoi,-50.38056,-29.4475
Pseudis_cardosoi,-50.38056,-29.4475
Pseudis_cardosoi,-50.38056,-29.4475
Pseudis_cardosoi,-50.38056,-29.4475
Pseudis_cardosoi,-50.37694,-29.42139
Pseudis_cardosoi,-50.37694,-29.42139
Pseudis_cardosoi,-50.37694,-29.42139
Pseudis_cardosoi,-50.37694,-29.42139
Pseudis_cardosoi,-50.37694,-29.42139
Pseudis_cardosoi,-50.37694,-29.42139
Pseudis_cardosoi,-50.37694,-29.42139
Pseudis_cardosoi,-50.37694,-29.42139
Pseudis_cardosoi,-50.37694,-29.42139
Pseudis_cardosoi,-50.37694,-29.42139
Pseudis_cardosoi,-50.37694,-29.42139
Pseudis_cardosoi,-50.37694,-29.42139
Pseudis_cardosoi,-50.37694,-29.42139
Pseudis_cardosoi,-50.37694,-29.42139
Pseudis_cardosoi,-50.37694,-29.42139
Pseudis_cardosoi,-50.37694,-29.42139
Pseudis_cardosoi,-50.37694,-29.42139
Pseudis_cardosoi,-50.31549,-29.2752
Pseudis_cardosoi,-50.31549,-29.2752
Pseudis_cardosoi,-50.31549,-29.2752
Pseudis_cardosoi,-50.31549,-29.2752
Pseudis_cardosoi,-50.31549,-29.2752
Pseudis_cardosoi,-50.31549,-29.2752
Pseudis_cardosoi,-50.31549,-29.2752
Pseudis_cardosoi,-50.31549,-29.2752
Pseudis_cardosoi,-50.31549,-29.2752
Pseudis_cardosoi,-50.31549,-29.2752
Pseudis_cardosoi,-50.31549,-29.2752
Pseudis_cardosoi,-50.31549,-29.2752
Pseudis_cardosoi,-50.31549,-29.2752
Pseudis_cardosoi,-50.31549,-29.2752
Pseudis_cardosoi,-50.31549,-29.2752
Pseudis_cardosoi,-50.31549,-29.2752
Pseudis_cardosoi,-50.31549,-29.2752
Pseudis_cardosoi,-50.31549,-29.2752
Pseudis_cardosoi,-50.31549,-29.2752
Pseudis_cardosoi,-50.31549,-29.2752
Pseudis_cardosoi,-50.29217,-29.40606
