species,longitude,latitude
Sphaenorhynchus_surdus,-48.85138889,-24.35083333
Sphaenorhynchus_surdus,-49.90472222,-24.53722222
Sphaenorhynchus_surdus,-49.05,-25.35
Sphaenorhynchus_surdus,-49.23638889,-25.96083333
Sphaenorhynchus_surdus,-49.05,-25.68333333
Sphaenorhynchus_surdus,-51.36666667,-26.36666667
Sphaenorhynchus_surdus,-51.6167,-26.5167
Sphaenorhynchus_surdus,-49.30833333,-25.3875
Sphaenorhynchus_surdus,-49.03111111,-25.50722222
Sphaenorhynchus_surdus,-50.43333333,-24.13333333
Sphaenorhynchus_surdus,-50.68333333,-24.11666667
Sphaenorhynchus_surdus,-50.36666667,-24.13333333
Sphaenorhynchus_surdus,-51.3794,-26.379
Sphaenorhynchus_surdus,-51.3591,-26.42
Sphaenorhynchus_surdus,-51.9,-26.78333333
Sphaenorhynchus_surdus,-50.66666667,-26.85361111
Sphaenorhynchus_surdus,-51.94555556,-26.79416667
Sphaenorhynchus_surdus,-49.22083333,-26.21277778
Sphaenorhynchus_surdus,-49.64138889,-28.13638889
Sphaenorhynchus_surdus,-50.16666667,-29.5
Sphaenorhynchus_surdus,-50.988181,-28.169905
Sphaenorhynchus_surdus,-50.974731,-28.167504
Sphaenorhynchus_surdus,-50.987209,-28.193134
Sphaenorhynchus_surdus,-51.19,-27.58
Sphaenorhynchus_surdus,-50.7,-26.93
Sphaenorhynchus_surdus,-49.05,-25.47
Sphaenorhynchus_surdus,-49.25,-25.4167
Sphaenorhynchus_surdus,-49.35864,-26.28388
Sphaenorhynchus_surdus,-52.7962,-26.4944
Sphaenorhynchus_surdus,-53.04222,-26.72917
Sphaenorhynchus_surdus,-51.92769,-26.80173
Sphaenorhynchus_surdus,-51.5525,-26.16139
Sphaenorhynchus_surdus,-51.55,-26.15
Sphaenorhynchus_surdus,-51.33384,-27.60049
Sphaenorhynchus_surdus,-51.225,-27.4017
Sphaenorhynchus_surdus,-51.15,-26.7753
Sphaenorhynchus_surdus,-50.93389,-28.51194
Sphaenorhynchus_surdus,-50.76083,-27.89889
Sphaenorhynchus_surdus,-50.6866,-24.06742
Sphaenorhynchus_surdus,-50.62219,-26.81731
Sphaenorhynchus_surdus,-50.41694,-28.66778
Sphaenorhynchus_surdus,-50.37096,-27.84263
Sphaenorhynchus_surdus,-50.32611,-27.81611
Sphaenorhynchus_surdus,-50.2065,-27.84122
Sphaenorhynchus_surdus,-49.96258,-28.67334
Sphaenorhynchus_surdus,-49.50461,-28.40003
Sphaenorhynchus_surdus,-49.38139,-26.2475
Sphaenorhynchus_surdus,-49.37286,-25.54198
Sphaenorhynchus_surdus,-49.34134,-27.35927
Sphaenorhynchus_surdus,-49.33402,-26.28201
Sphaenorhynchus_surdus,-49.31174,-26.31433
Sphaenorhynchus_surdus,-49.30731,-26.32344
Sphaenorhynchus_surdus,-49.29553,-25.65774
Sphaenorhynchus_surdus,-49.22551,-25.95618
Sphaenorhynchus_surdus,-49.14807,-27.68273
Sphaenorhynchus_surdus,-49.11501,-25.37631
Sphaenorhynchus_surdus,-49.09509,-27.67006
Sphaenorhynchus_surdus,-49.09456,-25.64848
Sphaenorhynchus_surdus,-49.01667,-27.66667
Sphaenorhynchus_surdus,-48.99076,-25.50743
Sphaenorhynchus_surdus,-48.97042,-25.48093
Sphaenorhynchus_surdus,-48.87606,-25.36338
Sphaenorhynchus_surdus,-48.82184,-25.13077
Sphaenorhynchus_surdus,-48.77833,-27.68833
Sphaenorhynchus_surdus,-48.7781,-24.25617
Sphaenorhynchus_surdus,-48.76667,-24.21667
Sphaenorhynchus_surdus,-48.75,-24.21667
Sphaenorhynchus_surdus,-48.74306,-24.35833
Sphaenorhynchus_surdus,-48.53278,-24.185
